location,latitude,longitude,property_type,option,guests,number_of_bedrooms,amenities,seasonality,base_price,bathrooms,bed_type,beds,neighborhood,guest_type,images,title,description
Port Carol,-29.1797035,-112.416387,House,A room,5,2,"['outdoor shower', 'kitchenSwimming Pool', 'piano', 'fire extinguisher']",Summer,487.30843287572986,2,Single,6,Downtown,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Adult season finish well.,Democratic oil sell. Speech foreign management happy should commercial claim. Half region community mind live soldier teach.
Teresahaven,10.748321,133.357675,Farm,An entire place,4,4,"['Kitchen', 'ski-in/ski-out', 'indore fire place', 'Free parking on premises', 'paid parking on premises', 'pool table', 'TV', 'kitchenSwimming Pool', 'outdoor shower', 'dedicated wokplacepool', 'carbon monoxide alarm', 'Air Conditioning', 'BBQ grill', 'smoke alarm', 'WiFi', 'beach access']",Winter,1939.2254469179654,8,Single,8,Waterfront,An experienced guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Business moment put senior oil less.,Other suddenly bill record present easy skill ability. Wind get increase middle word full arrive.
New Sean,86.705236,-121.975129,Guesthouse,A shared room,1,3,"['first aid kit', 'BBQ grill', 'piano', 'Free parking on premises', 'Kitchen', 'dedicated wokplacepool', 'pool table', 'excercise eqipment', 'kitchenSwimming Pool', 'WiFi', 'beach access', 'smoke alarm']",Autumn,4596.103351597911,4,Double,4,Waterfront,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Really their both organization partner somebody follow.,Could no a try. Point win various lawyer throw alone behind crime.
North Peter,70.694671,-138.297424,Villa,An entire place,4,4,"['piano', 'first aid kit', 'paid parking on premises', 'pool table', 'carbon monoxide alarm', 'fire extinguisher', 'BBQ grill', 'excercise eqipment', 'smoke alarm', 'outdoor shower', 'indore fire place', 'WiFi']",Autumn,3732.043498189555,7,Queen,5,Waterfront,An experienced guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Sign audience bed story.,Increase husband very husband even.
Vickieberg,84.813814,-133.362348,Guesthouse,A room,1,1,"['Kitchen', 'kitchenSwimming Pool', 'dedicated wokplacepool', 'smoke alarm', 'TV', 'indore fire place', 'WiFi', 'paid parking on premises', 'ski-in/ski-out', 'piano', 'fire extinguisher']",Summer,3293.537790183462,2,King,4,Downtown,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600']",Meet player ok raise upon admit across role.,Debate only hotel sell perform author. Use need make offer protect together window hospital. Research however issue meet.
Lake Roy,70.835004,-2.212440,Cave,A shared room,5,4,"['WiFi', 'TV', 'beach access', 'outdoor shower', 'kitchenSwimming Pool', 'Free parking on premises', 'first aid kit', 'BBQ grill', 'pool table', 'carbon monoxide alarm', 'piano', 'paid parking on premises', 'excercise eqipment', 'fire extinguisher', 'Air Conditioning', 'smoke alarm', 'dedicated wokplacepool']",Winter,1235.7629260187484,7,King,5,Waterfront,An experienced guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Event candidate western middle figure know card.,Whether other tax create. Another read light forget ground.
Marthaland,-70.421127,163.357230,Cabin,An entire place,4,3,"['smoke alarm', 'BBQ grill', 'indore fire place', 'pool table', 'outdoor shower', 'Free parking on premises', 'TV', 'first aid kit', 'ski-in/ski-out']",Winter,141.27463093990502,3,Double,6,Suburb,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",A agency short without.,Whether cut service discussion single sense including. It speak say article staff someone exactly center. Finish what into true remain capital.
East Jamesfort,49.307690,-124.447082,Villa,A shared room,2,1,"['Free parking on premises', 'ski-in/ski-out']",Summer,2164.3565031049557,5,Queen,3,Waterfront,An experienced guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Do action can white order.,Million common activity one professional. And particularly while thus must seven. Data attention early however race find add.
Kimberlyview,21.1422835,113.985008,Apartment,A shared room,5,1,"['smoke alarm', 'WiFi', 'indore fire place', 'Free parking on premises', 'kitchenSwimming Pool', 'beach access', 'fire extinguisher', 'piano', 'pool table', 'outdoor shower', 'BBQ grill', 'excercise eqipment', 'paid parking on premises']",Winter,3061.924904111393,2,King,2,Downtown,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Keep list allow forget different minute.,Age a own. Sing then food join throughout write article coach.
Sandraport,-45.0663525,-83.445188,Guesthouse,A room,5,5,"['fire extinguisher', 'carbon monoxide alarm', 'indore fire place', 'BBQ grill', 'smoke alarm']",Winter,1747.2287579629933,8,Double,9,Suburb,An experienced guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",She group pay.,Meet seat traditional gun hotel help agreement. Toward significant miss building forward trial cup.
Port Lori,-53.4895495,8.354740,Apartment,A shared room,2,1,"['beach access', 'Free parking on premises', 'TV', 'pool table', 'ski-in/ski-out', 'kitchenSwimming Pool', 'outdoor shower']",Summer,4047.3111736997885,4,Double,5,Downtown,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Like decide black.,Everything medical line Mr late responsibility special. White bed few party southern. Far paper spring sure.
Lake Christie,-66.512089,139.090015,Cave,An entire place,5,1,"['paid parking on premises', 'BBQ grill']",Summer,1824.2499741647293,5,King,4,Mountain View,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Board cultural maintain mean.,Arrive month tell low. Third chair paper population. Bill support thought.
Port Zacharystad,-37.077550,-149.657840,Guesthouse,A shared room,4,4,"['BBQ grill', 'paid parking on premises', 'Kitchen', 'carbon monoxide alarm', 'fire extinguisher']",Autumn,1436.8144344799446,6,Single,5,Downtown,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Reduce begin news.,If enjoy role week thank. Imagine market feel always card. Number send at me tend science describe.
Rogersborough,9.0600535,101.185832,Hotel,An entire place,5,4,"['fire extinguisher', 'kitchenSwimming Pool', 'dedicated wokplacepool', 'ski-in/ski-out', 'Kitchen', 'Air Conditioning', 'TV', 'Free parking on premises', 'smoke alarm', 'WiFi', 'excercise eqipment']",Winter,2553.3256559377605,7,Single,7,Mountain View,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Sound activity movie treat.,Town wonder million source common security mother. Move fine phone try anyone edge hold people. Suddenly pattern sea word quite seek nation. Almost most have candidate.
South Gregory,-71.1576135,-97.219786,Apartment,A room,3,2,"['indore fire place', 'fire extinguisher', 'kitchenSwimming Pool', 'pool table', 'beach access', 'piano', 'Free parking on premises', 'WiFi', 'paid parking on premises', 'first aid kit', 'ski-in/ski-out', 'BBQ grill', 'Kitchen']",Winter,1031.9638251405174,3,Queen,5,Waterfront,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Participant event participant personal ten task indicate.,System treatment magazine face southern music. Personal throughout time stock various. Then too finally by evening with concern drop.
Aaronstad,-79.908318,-112.254276,Guesthouse,A room,4,3,"['WiFi', 'ski-in/ski-out', 'TV', 'first aid kit', 'kitchenSwimming Pool', 'carbon monoxide alarm', 'Free parking on premises', 'Kitchen', 'dedicated wokplacepool']",Autumn,4047.0610370844042,3,King,4,Mountain View,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Eight rather system rest buy finish.,It condition indicate. Blue lawyer tough whole action good.
Port Daniel,31.097827,-86.155168,House,A shared room,3,2,"['Free parking on premises', 'fire extinguisher', 'paid parking on premises', 'Kitchen', 'pool table', 'ski-in/ski-out', 'beach access']",Autumn,1827.9570591544648,5,Queen,3,Mountain View,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Chance almost unit human.,List rock piece camera chance yet. Stock task already level parent than soldier former. First ever yourself choose run speak.
South Kari,53.968288,-83.810392,Cabin,An entire place,2,5,"['fire extinguisher', 'smoke alarm', 'TV', 'paid parking on premises', 'carbon monoxide alarm', 'Kitchen', 'pool table', 'first aid kit', 'piano', 'beach access', 'ski-in/ski-out', 'BBQ grill', 'kitchenSwimming Pool', 'outdoor shower', 'indore fire place', 'WiFi']",Winter,1763.297276543253,6,Single,7,Suburb,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Fall attack detail top cell.,May court over wrong operation skin. Trade culture until bad night use part.
Lake Herbert,49.7491145,-56.960006,Cave,An entire place,4,2,"['smoke alarm', 'pool table', 'indore fire place', 'excercise eqipment', 'outdoor shower', 'kitchenSwimming Pool', 'ski-in/ski-out', 'paid parking on premises', 'TV', 'first aid kit', 'dedicated wokplacepool', 'beach access']",Winter,3816.4026756238645,5,King,5,Waterfront,An experienced guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Both position fall from teacher.,Act benefit the heavy stop pass.
North Sara,40.697409,50.609331,Hotel,An entire place,4,1,"['beach access', 'outdoor shower', 'excercise eqipment', 'Air Conditioning', 'ski-in/ski-out']",Winter,1018.7016996307096,5,Double,3,Downtown,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Almost early important writer project ready.,Room way speak good tough. Cover form great.
Port Kennethhaven,-59.846748,171.509356,Cabin,A room,4,4,['paid parking on premises'],Autumn,3876.4875121829314,6,Single,5,Suburb,An experienced guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Dream action reveal must.,Budget box your tough. Suggest a speak office himself.
West Codyborough,32.4021585,-90.621753,Hotel,An entire place,3,2,"['BBQ grill', 'beach access', 'smoke alarm', 'excercise eqipment', 'Kitchen', 'piano', 'first aid kit', 'ski-in/ski-out', 'indore fire place', 'pool table', 'Air Conditioning', 'carbon monoxide alarm', 'TV', 'Free parking on premises', 'outdoor shower', 'fire extinguisher']",Autumn,1456.1220339844813,4,Queen,5,Mountain View,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Like ok fund choice player receive.,Individual reason weight cultural seem agent economy. Test over green side cost at. Cover daughter find drive region American.
North Pamela,-12.4169005,8.488609,Cabin,A room,5,5,"['first aid kit', 'paid parking on premises', 'WiFi', 'excercise eqipment', 'dedicated wokplacepool', 'ski-in/ski-out', 'piano', 'TV', 'smoke alarm', 'Air Conditioning', 'kitchenSwimming Pool', 'Free parking on premises', 'outdoor shower', 'pool table']",Winter,4562.925298918145,7,Double,6,Waterfront,An experienced guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",May ability reveal cold.,Brother little become seem home walk want. Model prepare store should bit.
Ryanchester,62.208222,-14.499414,Farm,An entire place,3,4,"['kitchenSwimming Pool', 'pool table', 'paid parking on premises', 'Free parking on premises', 'first aid kit', 'piano', 'excercise eqipment', 'indore fire place', 'beach access', 'TV', 'Air Conditioning', 'fire extinguisher', 'smoke alarm', 'ski-in/ski-out', 'outdoor shower', 'carbon monoxide alarm', 'Kitchen', 'BBQ grill', 'WiFi', 'dedicated wokplacepool']",Winter,181.58982431573696,8,Single,8,Downtown,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Adult bed near.,Smile trouble picture huge law. Region likely resource particularly continue member soon civil. Put talk team mission after.
Bellton,-50.619263,19.914494,House,An entire place,4,3,"['outdoor shower', 'first aid kit', 'WiFi', 'kitchenSwimming Pool', 'paid parking on premises', 'beach access', 'Free parking on premises', 'excercise eqipment', 'fire extinguisher', 'carbon monoxide alarm', 'piano', 'dedicated wokplacepool']",Winter,1171.6703862011461,3,King,6,Suburb,An experienced guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Debate meet sure give brother run lay.,Watch dark foot evening affect probably my.
Kenttown,26.7091635,75.069575,Farm,An entire place,5,1,['TV'],Summer,3118.3382192245626,4,Queen,4,Mountain View,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600']",Blood explain themselves believe.,Beautiful imagine participant could together war arrive and. My lead actually that. Check beat north traditional wait ahead sound.
South Charleneside,-47.862519,-137.223520,Hotel,A shared room,3,3,"['dedicated wokplacepool', 'outdoor shower', 'Free parking on premises', 'kitchenSwimming Pool', 'Kitchen', 'BBQ grill', 'carbon monoxide alarm', 'first aid kit']",Summer,430.427952236617,7,Single,5,Mountain View,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Join movement wait social couple wide.,Account perhaps manage. Something figure past claim within. Describe check sell perhaps.
Coopermouth,25.0319775,-23.810168,House,A shared room,5,5,"['kitchenSwimming Pool', 'piano', 'excercise eqipment', 'indore fire place']",Winter,3349.816019992554,5,Single,8,Waterfront,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Wish focus buy happen.,Against while Democrat try condition society. Author require character rich its whose. Staff your another.
Joanberg,-50.1117385,-82.039845,Farm,A shared room,1,4,"['piano', 'indore fire place', 'excercise eqipment', 'kitchenSwimming Pool', 'beach access', 'Air Conditioning', 'outdoor shower', 'Free parking on premises', 'WiFi', 'BBQ grill', 'first aid kit', 'ski-in/ski-out', 'carbon monoxide alarm', 'paid parking on premises', 'Kitchen', 'dedicated wokplacepool', 'smoke alarm', 'TV', 'fire extinguisher']",Autumn,1966.7556868707866,5,Double,7,Suburb,An experienced guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600']",Edge tell sea respond so collection finish.,Still catch possible factor street. Bank foot woman pass. Couple federal image official thing.
East Jeffrey,-13.425844,58.208866,Apartment,An entire place,5,4,['Kitchen'],Autumn,451.5442691333412,6,King,8,Waterfront,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Official better probably response employee seat exactly.,Get any less should major have father. Break try rise computer admit somebody. Piece especially thought discuss change remember.
Susanberg,0.0391295,150.028586,Cabin,A room,2,4,"['carbon monoxide alarm', 'Kitchen', 'Air Conditioning', 'kitchenSwimming Pool', 'outdoor shower', 'Free parking on premises', 'beach access', 'piano', 'first aid kit', 'pool table', 'BBQ grill', 'paid parking on premises', 'indore fire place', 'excercise eqipment', 'smoke alarm', 'fire extinguisher', 'WiFi', 'TV', 'ski-in/ski-out']",Winter,2255.094782736176,8,Queen,8,Mountain View,An experienced guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Marriage smile tough me know idea everyone.,Claim job concern step former fast idea part. Still after community too where single send.
Port Jeremy,-8.274467,-96.876198,Hotel,A shared room,4,1,"['indore fire place', 'fire extinguisher', 'Air Conditioning', 'ski-in/ski-out', 'TV', 'piano']",Winter,3506.1350570225236,1,Queen,5,Waterfront,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600']",Part whom wait painting kind add we.,Mean agent purpose rise. Language there speech tough expect. Main like remember fast.
Port Anitaville,2.088173,-42.612108,Guesthouse,A room,2,5,"['fire extinguisher', 'pool table', 'BBQ grill', 'Air Conditioning', 'WiFi', 'kitchenSwimming Pool', 'smoke alarm', 'Free parking on premises', 'carbon monoxide alarm', 'Kitchen', 'beach access', 'piano', 'excercise eqipment', 'first aid kit', 'outdoor shower']",Winter,1395.467177712964,9,Single,7,Mountain View,An experienced guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Economic line stay candidate.,Record itself anyone before between order. Traditional budget especially central work page degree.
South Williamfort,69.300526,0.614287,Apartment,A shared room,1,2,"['indore fire place', 'kitchenSwimming Pool', 'excercise eqipment', 'Free parking on premises', 'BBQ grill', 'first aid kit', 'paid parking on premises', 'beach access', 'piano', 'pool table', 'ski-in/ski-out', 'TV', 'smoke alarm', 'dedicated wokplacepool', 'Air Conditioning', 'Kitchen', 'carbon monoxide alarm', 'outdoor shower', 'fire extinguisher', 'WiFi']",Winter,1138.2339196098624,2,King,3,Waterfront,An experienced guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Two successful people practice unit.,Human table positive pretty action bad. Candidate task prepare. West worker summer degree player.
West Debraview,-43.980552,41.963977,House,An entire place,5,4,"['WiFi', 'indore fire place', 'fire extinguisher', 'Free parking on premises', 'TV', 'beach access', 'Air Conditioning', 'BBQ grill']",Summer,2355.0108924755855,5,King,8,Mountain View,Any Airbnb guest,"['https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600']",Pull cause up.,Several finally lawyer try power. Need activity today.
Dakotafurt,89.475936,15.558557,House,A room,4,1,"['carbon monoxide alarm', 'first aid kit', 'TV', 'outdoor shower', 'beach access']",Winter,162.53518956631143,1,Single,3,Downtown,An experienced guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",She lead eye effort.,Ready wish whose might stay of. Art run our chance the edge beat especially. Able list television scene town development.
West John,-75.5334215,136.770687,Hotel,An entire place,3,3,"['first aid kit', 'excercise eqipment', 'beach access', 'indore fire place']",Summer,1869.8594576013031,6,Queen,5,Suburb,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Support practice plant power behind.,Scene from town game during whatever. Government style region nor everyone suggest.
